match_id,date,season,team,opponent,home,corners,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
M2012001,2012-08-10,2012,team_01,team_02,1,6,0.716,0.613,0.556,0.975,0.551,0.351,0.119,0.302,0.483,0.727
M2012001,2012-08-10,2012,team_02,team_01,0,10,0.451,0.657,0.936,0.464,0.5,0.858,0.778,0.257,0.872,0.698
M2012002,2012-08-12,2012,team_01,team_03,1,10,0.797,0.479,0.516,0.952,0.898,0.385,0.405,0.248,0.509,0.577
M2012002,2012-08-12,2012,team_03,team_01,0,8,0.697,0.756,0.775,0.608,0.314,0.437,0.355,0.392,0.716,0.611
M2012003,2012-08-12,2012,team_01,team_04,1,2,0.575,0.441,0.581,0.91,0.899,0.424,0.088,0.376,0.303,0.476
M2012003,2012-08-12,2012,team_04,team_01,0,5,0.692,0.311,0.314,0.945,-0.026,0.524,0.466,0.451,0.552,0.532
M2012004,2012-08-13,2012,team_01,team_05,1,11,0.725,0.483,0.491,0.817,0.892,0.505,-0.091,0.739,0.446,0.752
M2012004,2012-08-13,2012,team_05,team_01,0,11,0.571,0.455,0.509,0.792,0.325,0.211,0.59,0.559,0.816,0.493
M2012005,2012-08-16,2012,team_01,team_06,1,5,0.807,0.596,0.425,0.76,0.755,0.325,0.325,0.246,0.758,0.59
M2012005,2012-08-16,2012,team_06,team_01,0,2,0.898,0.747,0.353,0.126,0.595,0.584,0.476,0.421,0.337,0.703
M2012006,2012-08-18,2012,team_01,team_07,1,6,0.657,0.457,0.47,0.818,0.787,0.476,0.218,0.461,0.193,0.639
M2012006,2012-08-18,2012,team_07,team_01,0,3,0.786,0.37,0.264,0.791,0.327,0.909,0.215,0.294,0.04,0.6
M2012007,2012-08-19,2012,team_01,team_08,1,4,0.737,0.6,0.313,0.67,0.843,0.34,0.197,0.431,0.372,0.462
M2012007,2012-08-19,2012,team_08,team_01,0,3,0.397,0.521,0.422,0.034,-0.132,0.488,0.362,0.165,0.961,0.008
M2012008,2012-08-19,2012,team_01,team_09,1,7,0.742,0.376,0.351,0.956,0.752,0.465,0.246,0.623,0.405,0.586
M2012008,2012-08-19,2012,team_09,team_01,0,3,0.777,0.501,0.57,0.427,0.582,0.833,0.112,0.344,0.622,0.426
M2012009,2012-08-19,2012,team_01,team_10,1,7,0.619,0.512,0.475,0.844,0.773,0.257,-0.076,0.653,0.214,0.799
M2012009,2012-08-19,2012,team_10,team_01,0,4,0.392,0.64,0.6,0.748,0.275,-0.023,0.391,0.213,0.37,0.389
M2012010,2012-08-20,2012,team_01,team_11,1,9,0.705,0.534,0.314,0.721,0.746,0.311,0.172,0.685,0.293,0.716
M2012010,2012-08-20,2012,team_11,team_01,0,10,0.734,0.588,0.756,0.621,0.757,0.762,0.368,0.473,0.453,0.704
M2012011,2012-08-22,2012,team_01,team_12,1,5,0.771,0.776,0.478,0.804,0.736,0.182,-0.087,0.404,0.185,0.524
M2012011,2012-08-22,2012,team_12,team_01,0,3,0.53,0.768,0.445,0.269,1.085,0.219,0.356,0.407,0.702,0.563
M2012012,2012-08-24,2012,team_01,team_13,1,8,0.625,0.602,0.282,0.825,0.892,0.296,-0.149,0.597,0.496,0.613
M2012012,2012-08-24,2012,team_13,team_01,0,5,0.584,0.39,0.466,0.307,0.553,0.588,0.32,0.356,0.748,0.621
M2012013,2012-08-27,2012,team_01,team_14,1,14,0.621,0.632,0.575,0.855,0.659,0.407,-0.24,0.815,0.463,0.599
M2012013,2012-08-27,2012,team_14,team_01,0,2,0.963,0.44,0.038,0.525,0.114,0.707,0.726,0.255,0.537,0.783
M2012014,2012-08-28,2012,team_01,team_15,1,10,0.654,0.496,0.623,0.762,1.087,0.304,-0.037,0.667,0.45,0.509
M2012014,2012-08-28,2012,team_15,team_01,0,4,0.124,0.499,0.639,0.838,0.628,0.734,0.314,0.739,0.633,0.751
M2012015,2012-08-30,2012,team_01,team_16,1,12,0.684,0.501,0.358,0.744,0.603,0.549,0.134,0.51,0.29,0.729
M2012015,2012-08-30,2012,team_16,team_01,0,5,0.781,0.38,0.742,0.637,0.723,0.539,0.214,0.429,0.174,0.639
M2012016,2012-09-05,2012,team_01,team_17,1,6,0.618,0.654,0.483,0.667,0.799,0.365,-0.045,0.629,0.327,0.596
M2012016,2012-09-05,2012,team_17,team_01,0,2,0.821,0.392,0.549,0.744,0.289,0.298,0.025,0.213,0.616,1.073
M2012017,2012-09-07,2012,team_01,team_18,1,5,0.661,0.594,0.363,0.951,0.87,0.192,0.212,0.225,0.562,0.476
M2012017,2012-09-07,2012,team_18,team_01,0,5,0.415,0.334,0.436,0.602,0.487,0.371,0.165,0.389,0.314,-0.006
M2012018,2012-09-10,2012,team_01,team_19,1,3,0.765,0.464,0.506,0.797,0.95,0.296,-0.155,0.331,0.768,0.561
M2012018,2012-09-10,2012,team_19,team_01,0,6,0.406,0.312,0.732,0.461,0.345,0.47,0.407,0.368,0.263,0.614
M2012019,2012-09-10,2012,team_01,team_20,1,10,0.65,0.411,0.365,1.063,0.957,0.041,0.122,0.624,0.168,0.756
M2012019,2012-09-10,2012,team_20,team_01,0,6,0.234,0.595,0.355,0.41,0.527,0.612,0.279,0.467,0.419,0.731
M2012020,2012-09-12,2012,team_02,team_03,1,6,0.664,0.649,0.761,0.849,0.307,0.823,0.521,0.384,0.816,0.686
M2012020,2012-09-12,2012,team_03,team_02,0,2,0.825,0.621,0.819,0.621,0.433,0.619,0.296,0.296,0.583,0.629
M2012021,2012-09-21,2012,team_02,team_04,1,9,0.393,0.629,0.776,0.603,0.368,0.682,0.828,0.385,0.898,0.725
M2012021,2012-09-21,2012,team_04,team_02,0,10,0.679,0.233,0.397,0.716,0.455,0.359,0.302,0.49,0.547,0.512
M2012022,2012-09-23,2012,team_02,team_05,1,16,0.382,0.701,0.828,0.58,0.547,0.578,0.781,0.38,0.876,0.709
M2012022,2012-09-23,2012,team_05,team_02,0,1,0.504,0.634,0.352,0.69,0.531,0.42,0.613,0.146,0.818,0.423
M2012023,2012-09-23,2012,team_02,team_06,1,11,0.495,0.749,0.761,0.89,0.461,0.478,0.748,0.397,0.71,0.894
M2012023,2012-09-23,2012,team_06,team_02,0,5,0.666,0.826,0.184,0.134,0.6,0.517,0.743,0.492,0.554,0.473
M2012024,2012-09-23,2012,team_02,team_07,1,3,0.538,0.708,0.909,0.669,0.456,0.5,0.51,0.368,0.996,0.766
M2012024,2012-09-23,2012,team_07,team_02,0,14,0.629,0.666,0.439,0.711,0.304,0.885,0.16,0.646,0.245,0.846
M2012025,2012-09-24,2012,team_02,team_08,1,5,0.378,0.633,0.798,0.758,0.42,0.434,0.693,0.156,0.796,0.88
M2012025,2012-09-24,2012,team_08,team_02,0,7,0.423,0.617,0.344,0.221,-0.112,0.636,0.558,0.329,0.684,0.135
M2012026,2012-09-24,2012,team_02,team_09,1,6,0.521,0.685,0.984,0.678,0.268,0.71,0.731,0.341,0.758,0.691
M2012026,2012-09-24,2012,team_09,team_02,0,2,0.852,0.461,0.452,0.527,0.495,1.071,0.318,0.421,0.685,0.289
M2012027,2012-09-26,2012,team_02,team_10,1,9,0.683,0.581,0.983,0.732,0.549,0.391,0.532,0.498,0.704,0.867
M2012027,2012-09-26,2012,team_10,team_02,0,6,0.461,0.669,0.625,0.798,0.304,0.232,0.237,0.525,0.149,0.426
M2012028,2012-09-27,2012,team_02,team_11,1,9,0.277,0.651,0.8,0.639,0.351,0.596,0.585,0.581,0.816,0.829
M2012028,2012-09-27,2012,team_11,team_02,0,5,0.879,0.403,0.698,0.535,0.587,0.327,0.369,0.501,0.836,0.703
M2012029,2012-09-28,2012,team_02,team_12,1,13,0.374,0.656,1.002,0.816,0.487,0.55,0.589,0.342,0.797,0.853
M2012029,2012-09-28,2012,team_12,team_02,0,2,0.483,0.372,0.528,0.381,1.049,0.103,-0.127,0.414,0.534,0.739
M2012030,2012-09-29,2012,team_02,team_13,1,7,0.255,0.774,0.829,0.71,0.183,0.625,0.6,0.357,0.802,0.795
M2012030,2012-09-29,2012,team_13,team_02,0,2,0.805,0.534,0.543,0.37,0.404,0.567,0.424,0.371,0.158,0.459
M2012031,2012-10-01,2012,team_02,team_14,1,8,0.433,0.679,0.869,0.718,0.201,0.637,0.54,0.466,0.494,0.908
M2012031,2012-10-01,2012,team_14,team_02,0,4,0.818,0.313,0.054,0.688,0.23,0.675,0.186,0.483,0.59,0.475
M2012032,2012-10-02,2012,team_02,team_15,1,13,0.449,0.613,0.852,0.831,0.557,0.479,0.609,0.377,0.589,0.773
M2012032,2012-10-02,2012,team_15,team_02,0,4,0.212,0.388,0.53,0.796,0.342,0.766,0.15,0.476,0.581,0.647
M2012033,2012-10-03,2012,team_02,team_16,1,14,0.431,0.525,0.727,0.749,0.302,0.662,0.446,0.561,0.837,0.752
M2012033,2012-10-03,2012,team_16,team_02,0,1,0.96,0.33,0.762,0.673,0.487,0.436,-0.084,0.426,0.345,0.913
M2012034,2012-10-04,2012,team_02,team_17,1,4,0.522,0.418,0.803,0.761,0.436,0.696,0.884,0.274,0.781,0.695
M2012034,2012-10-04,2012,team_17,team_02,0,2,0.773,0.283,0.557,0.725,0.183,0.286,-0.164,0.364,0.641,1.117
M2012035,2012-10-06,2012,team_02,team_18,1,8,0.407,0.642,1.027,0.544,0.468,0.789,0.464,0.473,0.844,0.756
M2012035,2012-10-06,2012,team_18,team_02,0,8,0.607,0.446,0.583,0.541,0.561,0.576,0.125,0.381,0.595,0.013
M2012036,2012-10-08,2012,team_02,team_19,1,11,0.449,0.879,0.804,0.859,0.553,0.752,0.785,0.397,0.844,0.846
M2012036,2012-10-08,2012,team_19,team_02,0,5,0.121,0.352,0.467,0.583,0.409,0.406,0.368,0.463,0.16,0.555
M2012037,2012-10-10,2012,team_02,team_20,1,7,0.575,0.783,0.958,0.675,0.593,0.534,0.917,0.211,0.804,1.007
M2012037,2012-10-10,2012,team_20,team_02,0,8,0.454,0.485,0.35,0.492,0.564,0.516,0.344,0.459,0.53,0.742
M2012038,2012-10-12,2012,team_03,team_04,1,12,0.577,0.676,0.883,0.65,0.298,0.421,0.43,0.612,0.464,0.866
M2012038,2012-10-12,2012,team_04,team_03,0,2,0.742,0.445,0.501,0.765,0.246,0.482,0.292,0.207,0.492,0.535
M2012039,2012-10-13,2012,team_03,team_05,1,2,0.619,0.65,0.876,0.595,0.449,0.557,0.312,0.619,0.604,0.46
M2012039,2012-10-13,2012,team_05,team_03,0,10,0.64,0.617,0.271,0.746,0.518,0.296,0.563,0.635,0.875,0.599
M2012040,2012-10-14,2012,team_03,team_06,1,6,0.543,0.653,0.892,0.718,0.176,0.577,0.073,0.763,0.832,0.642
M2012040,2012-10-14,2012,team_06,team_03,0,1,0.596,0.697,0.195,0.242,0.642,1.062,0.388,0.491,0.483,0.457
M2012041,2012-10-15,2012,team_03,team_07,1,7,0.575,0.499,0.832,0.642,0.259,0.105,0.322,0.553,0.416,0.453
M2012041,2012-10-15,2012,team_07,team_03,0,3,0.492,0.522,0.311,0.595,0.287,0.825,0.223,0.533,0.189,0.819
M2012042,2012-10-16,2012,team_03,team_08,1,8,0.833,0.66,0.867,0.555,0.289,0.271,0.434,0.296,0.48,0.549
M2012042,2012-10-16,2012,team_08,team_03,0,8,0.266,0.544,0.243,0.251,-0.287,0.677,0.456,0.507,0.544,0.104
M2012043,2012-10-16,2012,team_03,team_09,1,5,0.721,0.527,1.03,0.603,0.277,0.647,0.382,0.388,0.542,0.619
M2012043,2012-10-16,2012,team_09,team_03,0,4,0.643,0.702,0.796,0.313,0.67,0.901,0.038,0.34,0.392,0.165
M2012044,2012-10-17,2012,team_03,team_10,1,2,0.683,0.678,0.813,0.494,0.393,0.528,0.742,0.134,0.643,0.648
M2012044,2012-10-17,2012,team_10,team_03,0,6,0.358,0.636,0.674,0.471,0.443,-0.087,0.193,0.387,0.345,0.23
M2012045,2012-10-17,2012,team_03,team_11,1,12,0.486,0.647,1.019,0.65,0.325,0.377,0.515,0.494,0.811,0.56
M2012045,2012-10-17,2012,team_11,team_03,0,12,0.736,0.328,0.557,0.511,0.602,0.481,0.524,0.886,0.448,0.736
M2012046,2012-10-18,2012,team_03,team_12,1,8,0.511,0.616,0.903,0.638,0.228,0.288,0.328,0.355,0.675,0.481
M2012046,2012-10-18,2012,team_12,team_03,0,4,0.359,0.412,0.452,0.372,0.76,0.156,-0.005,0.352,0.479,0.355
M2012047,2012-10-19,2012,team_03,team_13,1,13,0.652,0.49,0.978,0.667,0.182,0.614,0.123,0.477,0.526,0.455
M2012047,2012-10-19,2012,team_13,team_03,0,1,0.914,0.581,0.391,0.542,0.498,0.583,0.483,0.391,0.543,0.545
M2012048,2012-10-20,2012,team_03,team_14,1,22,0.692,0.578,0.866,0.651,0.251,0.399,0.417,0.839,0.742,0.552
M2012048,2012-10-20,2012,team_14,team_03,0,3,0.892,0.338,0.056,0.573,0.259,0.83,0.188,0.515,0.675,0.547
M2012049,2012-10-21,2012,team_03,team_15,1,14,0.621,0.528,0.692,0.639,0.495,0.459,0.466,0.678,0.384,0.591
M2012049,2012-10-21,2012,team_15,team_03,0,2,0.061,0.422,0.526,0.957,0.382,0.771,0.259,0.21,0.83,0.659
